# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
xin dong guo su 	心動過速	c=4 d=3.28371e-07 t=11615
xin dong tu 	心動圖	c=1 d=1.29759e-06 t=11615
xin er 	心耳	c=1 d=0.00123469 t=11615
xin fang 	心房	c=9 d=0.00508594 t=11615
xin fang 	新房	c=1 d=0.00030659 t=11615
xin fei 	心肺	c=1 d=9.51877e-09 t=11615
xin geng 	心梗	c=1 d=1.11434e-09 t=11615
xin gong neng 	新功能	c=2 d=2.15469e-08 t=11615
xin hao 	信號	c=3 d=4.6749e-16 t=11615
xin ji 	心悸	c=2 d=8.44205e-07 t=11615
xin ji 	心肌	c=28 d=0.223072 t=11615
xin ji bing 	心肌病	c=11 d=4.06582e-06 t=11615
xin ji geng si 	心肌梗死	c=1 d=6.9323e-14 t=11615
xin ji yan 	心肌炎	c=3 d=0.00319873 t=11615
xin jian 	心尖	c=16 d=0.0655475 t=11615
xin jian 	新建	c=3 d=0.000212834 t=11615
xin jian qu 	心尖區	c=2 d=0.000567086 t=11615
xin jiao tong 	心絞痛	c=2 d=3.33513e-06 t=11615
xin li 	心力	c=6 d=0.0792799 t=11615
xin li 	心理	c=1 d=1.16865e-10 t=11615
xin li shuai jie 	心力衰竭	c=1 d=8.80668e-06 t=11615
xin lv 	心律	c=21 d=0.198952 t=11615
xin lv 	心率	c=1 d=2.94568e-05 t=11615
xin lv bu qi 	心率不齊	c=1 d=0.000296045 t=11615
xin lv kuai 	心律快	c=1 d=3.6541e-10 t=11615
xin lv shi chang 	心律失常	c=1 d=8.11274e-11 t=11615
xin nei mo 	心內膜	c=2 d=1.67505e-06 t=11615
xin pai liang 	心排量	c=1 d=8.96444e-09 t=11615
xin qian 	心前	c=1 d=0.0668703 t=11615
xin qiang 	心腔	c=2 d=0.000841773 t=11615
xin shi 	心室	c=10 d=0.000324708 t=11615
xin shi shou suo 	心室收縮	c=1 d=0.00326335 t=11615
xin shuai 	心帥	c=1 d=6.1463e-10 t=11615
xin tiao 	心跳	c=3 d=0.752014 t=11615
xin tiao jia kuai 	心跳加快	c=1 d=0.209088 t=11615
xin xi 	信息	c=5 d=0.000221519 t=11615
xin xian 	新鮮	c=3 d=0.274186 t=11615
xin xue guan 	心血管	c=1 d=4.38907e-19 t=11615
xin yao 	心腰	c=2 d=0.00246861 t=11615
xin yin 	心音	c=15 d=0.199546 t=11615
xin ying 	心影	c=4 d=2.76543e-06 t=11615
xin yuan 	心源	c=2 d=2.97871e-08 t=11615
xin yuan xing 	心源性	c=1 d=3.95777e-08 t=11615
xin zang 	心臟	c=40 d=1.13604 t=11615
xin zang bing 	心臟病	c=5 d=4.85846e-09 t=11615
xing 	型	c=21 d=2.19203 t=11615
xing 	形	c=3 d=0.00231117 t=11615
xing 	性	c=86 d=2.66763 t=11615
xing 	星	c=0 d=0.000918669 t=11615
xing 	行	c=4 d=0.20244 t=11615
xing cheng 	形成	c=28 d=0.746952 t=11615
xing fen 	興奮	c=2 d=5.26363e-06 t=11615
xing fen xing 	興奮性	c=1 d=2.19958e-09 t=11615
xing fu 	幸福	c=1 d=1.59722e-09 t=11615
xing neng 	性能	c=5 d=3.2489e-18 t=11615
xing shi 	形式	c=1 d=4.65651e-09 t=11615
xing tai 	形態	c=3 d=0.13466 t=11615
xing wei 	行爲	c=1 d=5.87485e-08 t=11615
xing xing 	星星	c=0 d=0.000918669 t=11615
xing xing xing 	星星星	c=1 d=0.00923273 t=11615
xing zhi 	性質	c=9 d=0.0676568 t=11615
xing zhuang 	星狀	c=2 d=0.000341394 t=11615
xiong 	胸	c=4 d=0.00097244 t=11615
xiong bi 	胸壁	c=2 d=0.952067 t=11615
xiong fu 	胸腹	c=3 d=0.0177743 t=11615
xiong gu 	胸骨	c=8 d=0.00396601 t=11615
xiong kuo 	胸廓	c=1 d=0.657047 t=11615
xiong men 	胸悶	c=2 d=0.642186 t=11615
xiong mo 	胸膜	c=3 d=0.00412214 t=11615
xiong mo qiang 	胸膜腔	c=2 d=0.511729 t=11615
xiong mo yan 	胸膜炎	c=1 d=0.00108628 t=11615
xiong qian 	胸前	c=1 d=4.70251e-07 t=11615
xiong qiang 	胸腔	c=10 d=1.45661 t=11615
xiong qiang nei 	胸腔內	c=2 d=0.827809 t=11615
xiong shui 	胸水	c=1 d=0.442639 t=11615
xiu gai 	修改	c=4 d=0.0518189 t=11615
xiu ke 	休克	c=4 d=2.84028e-07 t=11615
xiu xi 	休息	c=2 d=2.92496e-08 t=11615
xu 	需	c=4 d=1.53073e-05 t=11615
xu huan 	徐緩	c=1 d=0.000614317 t=11615
xu ji 	蓄積	c=1 d=0.433874 t=11615
xu yu 	須與	c=1 d=3.34074e-14 t=11615
xu zhuang 	絮狀	c=1 d=1.10592e-08 t=11615
xuan ding 	選定	c=1 d=3.16034e-08 t=11615
xuan yong 	選用	c=1 d=2.79137e-18 t=11615
xuan ze 	選擇	c=3 d=0.0441572 t=11615
xuan ze xing 	選擇性	c=2 d=5.89244e-06 t=11615
xuan zhong 	選中	c=3 d=0.000148309 t=11615
xuan zhuan 	旋轉	c=2 d=6.55665e-18 t=11615
xue 	學	c=12 d=0.937138 t=11615
xue 	血	c=28 d=1.24975 t=11615
xue guan 	血管	c=23 d=0.112307 t=11615
xue guan bi 	血管壁	c=1 d=0.000833397 t=11615
xue guan bo dong zheng 	血管搏動徵	c=1 d=1.46757e-13 t=11615
xue guan liu 	血管瘤	c=1 d=0.00447164 t=11615
xue guan mo 	血管膜	c=1 d=0.329559 t=11615
xue guan wai 	血管外	c=1 d=1.05561e-19 t=11615
xue guan wai 	血關外	c=1 d=6.15154e-20 t=11615
xue guan xing 	血管性	c=1 d=1.24973e-05 t=11615
xue guan zheng 	血管徵	c=2 d=0.000420107 t=11615
xue guo 	學過	c=1 d=1.7661e-15 t=11615
xue ji gan 	血肌酐	c=1 d=7.58385e-12 t=11615
xue jiang 	血漿	c=6 d=0.89576 t=11615
xue jiang dan bai 	血漿蛋白	c=3 d=1.16262 t=11615
xue jiang nei de 	血漿內的	c=1 d=4.74315e-20 t=11615
xue jiang yao wu 	血漿藥物	c=1 d=1.80706e-20 t=11615
xue liang 	血量	c=1 d=3.04181e-08 t=11615
xue liu 	血流	c=13 d=0.00539663 t=11615
xue liu fang xiang 	血流方向	c=1 d=1.89906e-16 t=11615
xue liu liang 	血流量	c=6 d=0.925958 t=11615
xue liu su 	血流速	c=1 d=5.42871e-20 t=11615
xue liu xin hao 	血流信號	c=1 d=1.61828e-16 t=11615
xue nao 	血腦	c=1 d=0.806541 t=11615
xue niao 	血尿	c=1 d=0.000200439 t=11615
xue niao suan 	血尿酸	c=1 d=2.58703e-06 t=11615
xue qing 	血清	c=17 d=0.0146253 t=11615
xue qing dan bai 	血清蛋白	c=1 d=0.918512 t=11615
xue qing zhong 	血清中	c=1 d=3.02231e-12 t=11615
xue qing zong dan bai 	血清總蛋白	c=1 d=6.47816e-11 t=11615
xue rong liang 	血容量	c=7 d=1.3032 t=11615
xue se 	血色	c=2 d=0.0141675 t=11615
xue shuan 	血栓	c=1 d=2.16609e-05 t=11615
xue tang 	血糖	c=3 d=0.0925506 t=11615
xue xi 	學習	c=6 d=0.0010302 t=11615
xue xiang 	血象	c=1 d=0.00151855 t=11615
xue xiao 	學校	c=1 d=4.86918e-05 t=11615
xue xiao ban 	血小板	c=1 d=2.2332e-11 t=11615
xue xing 	學行	c=0 d=7.39157e-05 t=11615
xue xing 	血型	c=1 d=0.19593 t=11615
xue xing xing 	學行性	c=1 d=0.000742862 t=11615
xue ya 	血壓	c=7 d=8.95304e-05 t=11615
xue ya di 	血壓低	c=1 d=4.06708e-05 t=11615
xue yao nong du 	血藥濃度	c=2 d=1.31672e-19 t=11615
xue ye 	血液	c=11 d=0.989051 t=11615
xue ye hou 	血液後	c=1 d=1.60163e-12 t=11615
xue ye zhong de 	血液中的	c=1 d=2.16345e-20 t=11615
xue yuan 	血源	c=2 d=0.0534599 t=11615
xue yuan xing 	血源性	c=1 d=0.00130051 t=11615
xue zheng 	血癥	c=8 d=0.53502 t=11615
xue zhi 	血脂	c=2 d=8.79839e-06 t=11615
xue zhong 	血中	c=2 d=3.11297e-12 t=11615
xue zuan 	血賺	c=1 d=6.62388e-08 t=11615
xun huan 	循環	c=5 d=0.283916 t=11615
xun huan zhang ai deng 	循環障礙等	c=1 d=0.0164078 t=11615
xun le 	薰了	c=1 d=4.96754e-05 t=11615
xun lian 	訓練	c=9 d=0.000781429 t=11615
xun su 	迅速	c=4 d=5.78598e-06 t=11615
xun su yu 	迅速與	c=1 d=1.60966e-12 t=11615
xun zhao 	尋找	c=1 d=0.0327124 t=11615
ya 	亞	c=0 d=5.17732e-22 t=11615
ya 	壓	c=2 d=5.25195e-05 t=11615
ya jia zu 	亞家族	c=1 d=5.20327e-21 t=11615
ya li 	壓力	c=4 d=0.010383 t=11615
ya li cha 	壓力差	c=1 d=6.52637e-10 t=11615
ya li de 	壓力的	c=1 d=0.10435 t=11615
ya li zeng gao 	壓力增高	c=1 d=1.50421e-09 t=11615
ya sai 	亞塞	c=1 d=1.92148e-07 t=11615
ya sai 	壓塞	c=3 d=1.36222e-06 t=11615
ya tong 	壓痛	c=1 d=7.23019e-09 t=11615
ya wu 	呀無	c=1 d=0.254107 t=11615
yan 	煙	c=3 d=0.719391 t=11615
yan 	眼	c=1 d=0.955997 t=11615
yan 	鹽	c=1 d=1.08646e-05 t=11615
yan chang 	延長	c=9 d=0.175548 t=11615
yan chi 	延遲	c=3 d=0.00839274 t=11615
yan gai 	掩蓋	c=1 d=4.28959e-14 t=11615
yan ge 	嚴格	c=2 d=1.68069e-18 t=11615
yan jiu 	研究	c=1 d=7.21153e-08 t=11615
yan jiu sheng 	研究生	c=1 d=1.67968e-13 t=11615
yan se 	顏色	c=1 d=0.00869506 t=11615
yan she 	衍射	c=1 d=6.72856e-16 t=11615
yan suan 	演算	c=1 d=2.83355e-18 t=11615
yan xing 	炎性	c=2 d=0.0025805 t=11615
yan yang 	厭氧	c=1 d=0.000633025 t=11615
yan yang jun 	厭氧菌	c=3 d=0.00199041 t=11615
yan zheng 	炎症	c=5 d=0.0290686 t=11615
yan zheng jin run 	炎症浸潤	c=1 d=0.0780817 t=11615
yan zhong 	嚴重	c=21 d=0.224579 t=11615
yan zhong chuang shang 	嚴重創傷	c=1 d=4.71628e-12 t=11615
yan zhong pin xue 	嚴重貧血	c=2 d=2.53226e-13 t=11615
yan zhong shi 	嚴重時	c=1 d=3.43301e-11 t=11615
yang 	楊	c=1 d=5.04262e-05 t=11615
yang 	樣	c=9 d=0.496168 t=11615
yang 	陽	c=1 d=0.0265162 t=11615
yang di huang 	洋地黃	c=5 d=4.75964e-08 t=11615
yang hua 	氧化	c=3 d=1.7905e-14 t=11615
yang ji 	陽極	c=1 d=5.89206e-13 t=11615
yang li zi 	陽離子	c=3 d=9.73108e-15 t=11615
yang xing 	陽性	c=8 d=0.183453 t=11615
yao 	藥	c=2 d=4.28544e-20 t=11615
yao 	要	c=10 d=0.157889 t=11615
yao dao 	要到	c=1 d=3.39885e-11 t=11615
yao dian 	要點	c=9 d=0.888532 t=11615
yao li 	藥理	c=3 d=0.000227127 t=11615
yao li xue 	藥理學	c=1 d=0.25284 t=11615
yao mei 	藥酶	c=1 d=7.31032e-21 t=11615
yao qiu 	要求	c=1 d=2.22358e-19 t=11615
yao wu 	藥物	c=58 d=14.9396 t=11615
yao wu de 	藥物的	c=1 d=3.25992e-20 t=11615
yao wu nong du 	藥物濃度	c=1 d=0.574072 t=11615
yao yuan 	遙遠	c=1 d=2.02e-07 t=11615
yao zhong 	藥中	c=1 d=1.02706e-20 t=11615
ye 	也	c=8 d=0.94 t=11615
ye 	葉	c=5 d=0.0158111 t=11615
ye jian 	夜間	c=3 d=1.02664e-08 t=11615
ye jian lie 	葉間裂	c=1 d=0.000148489 t=11615
ye ke 	也可	c=5 d=0.34469 t=11615
ye ke bei 	也可被	c=1 d=1.60272e-20 t=11615
ye ke yi 	也可以	c=1 d=0.440432 t=11615
ye qu 	液區	c=1 d=4.02524e-16 t=11615
ye qu nei 	液區內	c=1 d=3.71122e-16 t=11615
ye shi 	也是	c=2 d=0.778801 t=11615
ye ti 	液體	c=4 d=0.831959 t=11615
ye ti liang 	液體量	c=1 d=5.09677e-13 t=11615
ye wei 	也未	c=1 d=0.00726273 t=11615
ye wu 	也無	c=1 d=0.00711891 t=11615
ye xing 	液型	c=1 d=9.31254e-16 t=11615
yi 	乙	c=1 d=0.386741 t=11615
yi 	以	c=5 d=1.85812e-09 t=11615
yi 	易	c=9 d=1.50424 t=11615
yi 	義	c=2 d=0.021068 t=11615
yi ban 	一般	c=8 d=9.78587e-05 t=11615
yi ban bu hui 	一般不會	c=1 d=1.40978e-11 t=11615
yi ban er yan 	一般而言	c=1 d=3.45139e-15 t=11615
yi ban ren 	一般人	c=0 d=6.2726e-15 t=11615
yi ban ren wei 	一般人爲	c=1 d=6.30404e-14 t=11615
yi bian xing 	易變性	c=1 d=9.56323e-05 t=11615
yi ce 	一側	c=2 d=0.615697 t=11615
yi chang 	異常	c=7 d=0.0873009 t=11615
yi cheng 	亦稱	c=0 d=3.66543e-18 t=11615
yi cheng wei 	亦稱爲	c=1 d=3.68381e-17 t=11615
yi chu 	益處	c=1 d=2.22168e-09 t=11615
yi chuan 	遺傳	c=1 d=0.00279479 t=11615
yi chuan he 	遺傳和	c=1 d=6.19837e-21 t=11615
yi chuan yin su 	遺傳因素	c=2 d=1.08857e-20 t=11615
yi ci 	一次	c=1 d=0.00204983 t=11615
yi ci yuan 	異次元	c=1 d=7.05288e-11 t=11615
yi dao su 	胰島素	c=1 d=8.70395e-15 t=11615
yi ding 	一定	c=1 d=2.45109e-18 t=11615
yi dong 	移動	c=3 d=0.000119987 t=11615
yi duan 	一段	c=1 d=4.94782e-17 t=11615
yi ge 	一個	c=27 d=1.00208 t=11615
yi ge zi 	一個字	c=2 d=0.0669137 t=11615
yi guo 	一過	c=0 d=3.51023e-09 t=11615
yi guo xing 	一過性	c=1 d=3.52782e-08 t=11615
yi hou 	以後	c=2 d=1.35513e-06 t=11615
yi ji 	一級	c=3 d=7.68224e-20 t=11615
yi ji 	以及	c=2 d=0.143801 t=11615
yi jia 	溢價	c=1 d=0.00124951 t=11615
yi jie 	一劫	c=1 d=4.79669e-05 t=11615
yi jing 	已經	c=2 d=0.00687406 t=11615
yi ju hua 	一句話	c=1 d=0.0330412 t=11615
yi miao 	一秒	c=0 d=0.00555762 t=11615
yi miao lv 	一秒率	c=1 d=0.0558548 t=11615
yi mo kong kuo san 	以膜孔擴散	c=1 d=9.72099e-21 t=11615
yi pi 	一批	c=0 d=0.00110536 t=11615
yi qi 	一起	c=3 d=1.45998e-15 t=11615
yi qi 	儀器	c=1 d=8.42633e-16 t=11615
yi shang 	以上	c=11 d=0.0937864 t=11615
yi shi 	一室	c=0 d=4.22788e-21 t=11615
yi shi mo xing 	一室模型	c=1 d=4.24908e-20 t=11615
yi si 	意思	c=1 d=3.05164e-08 t=11615
yi ti 	一提	c=1 d=7.75576e-11 t=11615
yi wei 	移位	c=2 d=0.293758 t=11615
yi wu 	異物	c=1 d=0.00211225 t=11615
yi xia 	一下	c=2 d=0.0118962 t=11615
yi xia 	以下	c=5 d=2.11314e-07 t=11615
yi xia lai 	一下來	c=0 d=0.000631391 t=11615
yi xian yan 	胰腺炎	c=1 d=3.73566e-05 t=11615
yi xiao 	一笑	c=1 d=3.796e-17 t=11615
yi xie 	一些	c=3 d=0.000217342 t=11615
yi xue 	醫學	c=1 d=0.10383 t=11615
yi xue yuan 	醫學院	c=1 d=7.13977e-08 t=11615
yi yi 	意義	c=13 d=0.69444 t=11615
yi yi bu da 	意義不大	c=1 d=2.09195e-07 t=11615
yi yong 	醫用	c=1 d=8.8385e-19 t=11615
yi yu 	易於	c=1 d=0.00327971 t=11615
yi yuan 	醫院	c=1 d=0.000102566 t=11615
yi zhi 	一致	c=5 d=0.755799 t=11615
yi zhi 	以致	c=3 d=4.40694e-06 t=11615
yi zhi 	抑制	c=4 d=3.26295e-05 t=11615
yi zhi ji 	抑制劑	c=2 d=1.37735e-20 t=11615
yi zhi xing 	一致性	c=1 d=2.07826e-18 t=11615
yi zhong 	一種	c=6 d=0.897156 t=11615
yi zhou 	一週	c=1 d=3.42647e-18 t=11615
yi zu 	一組	c=1 d=2.13384e-05 t=11615
yin 	因	c=2 d=0.000228266 t=11615
yin 	茚	c=1 d=7.00009e-15 t=11615
yin 	音	c=18 d=0.730641 t=11615
yin cang 	隱藏	c=1 d=0.000176887 t=11615
yin ci 	因此	c=4 d=3.49079e-11 t=11615
yin dao 	引導	c=1 d=3.86939e-07 t=11615
yin diao 	音調	c=1 d=1.87985e-14 t=11615
yin du 	印度	c=1 d=1.46782e-15 t=11615
yin duo 	吲哚	c=1 d=3.81437e-15 t=11615
yin hao 	引號	c=1 d=0.00524752 t=11615
yin ju 	印劇	c=1 d=1.44596e-15 t=11615
yin li zi 	陰離子	c=3 d=9.97223e-15 t=11615
yin liang 	音量	c=1 d=6.25215e-05 t=11615
yin liu 	引流	c=3 d=0.992766 t=11615
yin ni 	隱匿	c=1 d=9.85951e-11 t=11615
yin qi 	引起	c=11 d=0.00118371 t=11615
yin ru 	引入	c=3 d=2.45655e-18 t=11615
yin ru fa 	引入法	c=1 d=1.04763e-18 t=11615
yin san tong 	茚三酮	c=5 d=1.86512e-13 t=11615
yin shi 	飲食	c=2 d=4.93336e-12 t=11615
yin su 	因素	c=13 d=1.19108 t=11615
yin wei 	因爲	c=2 d=0.0500366 t=11615
yin xing 	陰性	c=1 d=0.138761 t=11615
yin xue 	隱血	c=5 d=0.0471508 t=11615
yin ying 	陰影	c=7 d=0.864834 t=11615
yin yong 	引用	c=1 d=8.75055e-19 t=11615
yin zi 	因子	c=1 d=3.24874e-09 t=11615
ying 	影	c=7 d=0.00275809 t=11615
ying 	應	c=12 d=0.188153 t=11615
ying cha 	應查	c=2 d=1.09321e-10 t=11615
ying gai 	應該	c=2 d=7.50127e-07 t=11615
ying guang 	熒光	c=3 d=3.30807e-18 t=11615
ying hua 	硬化	c=2 d=1.45573e-06 t=11615
ying ji 	應激	c=1 d=3.84015e-06 t=11615
ying ke 	硬殼	c=1 d=6.00802e-07 t=11615
ying wen 	英文	c=2 d=0.00017956 t=11615
ying xiang 	影像	c=7 d=0.93218 t=11615
ying xiang 	影響	c=17 d=0.788708 t=11615
ying xiang xiong kuo 	影響胸廓	c=1 d=2.07219e-13 t=11615
ying xiang xue 	影像學	c=2 d=1.84178e-17 t=11615
ying xiang yao wu 	影響藥物	c=1 d=5.30838e-21 t=11615
ying yang 	營養	c=0 d=0.0106992 t=11615
ying yang bu liang 	營養不良	c=1 d=6.94906e-13 t=11615
ying yong 	應用	c=10 d=1.91683 t=11615
ying you er 	嬰幼兒	c=2 d=0.00282287 t=11615
ying yu 	英語	c=3 d=0.00530044 t=11615
yong 	用	c=12 d=0.00927901 t=11615
yong de 	用的	c=1 d=2.74318e-19 t=11615
yong dong 	泳動	c=1 d=5.95128e-13 t=11615
yong hu 	用戶	c=4 d=1.24203 t=11615
yong lai 	用來	c=1 d=0.000102566 t=11615
yong yao 	用藥	c=0 d=0.00235177 t=11615
yong yao qian 	用藥前	c=1 d=0.0236356 t=11615
yong yi 	用以	c=3 d=0.0199405 t=11615
yong yu 	用於	c=7 d=0.0433109 t=11615
you 	又	c=9 d=0.29381 t=11615
you 	右	c=4 d=0.0756182 t=11615
you 	有	c=21 d=0.63263 t=11615
you 	由	c=4 d=5.71335e-13 t=11615
you ben shi 	有本事	c=0 d=0.00120342 t=11615
you ben shi ni ji xu 	有本事你繼續	c=1 d=0.0120946 t=11615
you cheng 	又稱	c=1 d=0.000765486 t=11615
you dai 	有待	c=1 d=3.61148e-19 t=11615
you dao 	誘導	c=1 d=6.61465e-21 t=11615
you de 	有的	c=1 d=0.00442715 t=11615
you dian 	優點	c=1 d=2.96212e-19 t=11615
you dian shi 	優點是	c=1 d=1.92344e-19 t=11615
you fang 	右房	c=1 d=3.44904e-07 t=11615
you gai 	有蓋	c=2 d=0.112018 t=11615
you guan 	有關	c=6 d=0.38868 t=11615
you gui lv 	有規律	c=1 d=1.3147e-13 t=11615
you hao 	友好	c=1 d=0.0112769 t=11615
you hua 	優化	c=1 d=6.53992e-05 t=11615
you jiao 	又叫	c=2 d=0.0616156 t=11615
you ke 	又可	c=1 d=5.1258e-21 t=11615
you li 	有力	c=4 d=0.000617396 t=11615
you li 	遊離	c=0 d=0.0546074 t=11615
you li bi 	遊離壁	c=1 d=3.55408e-07 t=11615
you li xing 	遊離型	c=2 d=1.12002 t=11615
you mei you 	有沒有	c=1 d=0.000153778 t=11615
you na xie 	有哪些	c=4 d=3.17248e-11 t=11615
you qi 	尤其	c=1 d=4.02798e-09 t=11615
you qi shi 	尤其是	c=1 d=3.2398e-06 t=11615
you qian 	右前	c=1 d=0.0665368 t=11615
you ru 	猶如	c=2 d=1.06609e-13 t=11615
you san ge 	有三個	c=1 d=1.30565e-20 t=11615
you shi 	優勢	c=1 d=7.29021e-18 t=11615
you shi 	有時	c=3 d=0.729789 t=11615
you ting 	遊艇	c=1 d=0.392586 t=11615
you wu 	有無	c=1 d=0.305746 t=11615
you xiao 	有效	c=2 d=3.56267e-06 t=11615
you xie 	有些	c=2 d=0.0288686 t=11615
you xie yao wu 	有些藥物	c=1 d=1.98715e-20 t=11615
you xin 	右心	c=3 d=0.00905579 t=11615
you xin fang 	右心房	c=1 d=5.7595e-10 t=11615
you xin shi 	右心室	c=7 d=0.0636103 t=11615
you xin zang 	有心臟	c=1 d=2.73516e-14 t=11615
you xing 	有形	c=2 d=0.0956689 t=11615
you yang 	有氧	c=1 d=0.000115643 t=11615
you yin 	誘因	c=3 d=1.20101 t=11615
you you 	又有	c=1 d=1.89971e-20 t=11615
you yu 	由於	c=3 d=0.0809187 t=11615
yu 	於	c=8 d=0.00724829 t=11615
yu 	與	c=78 d=4.12017 t=11615
yu 	語	c=1 d=0.000314351 t=11615
yu ce 	預測	c=1 d=1.61355e-11 t=11615
yu ci 	與此	c=1 d=0.000662162 t=11615
yu dao 	遇到	c=2 d=2.24112e-15 t=11615
yu fa 	語法	c=1 d=0.000107287 t=11615
yu he 	癒合	c=1 d=0.00351752 t=11615
yu hou 	預後	c=2 d=7.82971e-05 t=11615
yu ji 	淤積	c=1 d=9.24059e-13 t=11615
yu ji 	預計	c=0 d=0.00221482 t=11615
yu ji zhi 	預計值	c=1 d=0.0222592 t=11615
yu shi 	於是	c=1 d=1.73054e-11 t=11615
yu shi 	預示	c=1 d=1.78325e-11 t=11615
yu xue 	淤血	c=4 d=1.34461e-07 t=11615
yu yan 	語言	c=4 d=0.000175127 t=11615
yuan 	原	c=1 d=0.000149981 t=11615
yuan 	源	c=4 d=0.636943 t=11615
yuan 	遠	c=3 d=0.00481991 t=11615
yuan chang 	遠場	c=2 d=1.13401e-16 t=11615
yuan duan 	遠端	c=2 d=5.16044e-12 t=11615
yuan fa 	原發	c=6 d=1.4169 t=11615
yuan fa xing 	原發性	c=5 d=0.188249 t=11615
yuan li 	原理	c=7 d=0.133989 t=11615
yuan wen 	原文	c=1 d=0.000148489 t=11615
yuan xing 	原型	c=1 d=1.04258e-20 t=11615
yuan xing 	圓形	c=3 d=2.95853e-15 t=11615
yuan yin 	原因	c=7 d=0.9205 t=11615
yuan you 	原有	c=5 d=0.00276449 t=11615
yuan ze 	原則	c=8 d=0.515425 t=11615
yue 	月	c=1 d=0.0267827 t=11615
yue 	約	c=1 d=1.80614e-14 t=11615
yue 	越	c=2 d=3.64628e-06 t=11615
yue di 	越低	c=1 d=2.13493e-11 t=11615
yue gao 	越高	c=1 d=2.10315e-11 t=11615
yue hao 	越好	c=1 d=9.573e-17 t=11615
yue xi 	越細	c=1 d=9.38344e-17 t=11615
yun 	雲	c=3 d=0.944745 t=11615
yun dong 	運動	c=6 d=0.000374157 t=11615
yun fu 	孕婦	c=1 d=1.47924e-18 t=11615
yun jue 	暈厥	c=1 d=1.1398e-10 t=11615
yun pan 	雲盤	c=5 d=1.38216 t=11615
za ban 	咋辦	c=1 d=0.00012909 t=11615
za yin 	雜音	c=25 d=0.175306 t=11615
zai 	仔	c=1 d=0.00647375 t=11615
zai 	再	c=4 d=6.63545e-07 t=11615
zai 	在	c=49 d=2.44229 t=11615
zai er tong 	在兒童	c=1 d=2.06186e-13 t=11615
zai fen 	再分	c=1 d=0.299692 t=11615
zai jin 	再進	c=0 d=9.08415e-19 t=11615
zai jin xing 	再進行	c=1 d=9.12969e-18 t=11615
zai lai 	再來	c=1 d=0.00595164 t=11615
zai qi 	在其	c=1 d=6.19626e-17 t=11615
zai ru 	載入	c=1 d=5.43536e-05 t=11615
zai shang 	在上	c=1 d=0.637628 t=11615
zai sheng 	再生	c=1 d=3.0448e-11 t=11615
zai sui 	再隨	c=1 d=1.56208e-12 t=11615
zai ti 	載體	c=4 d=6.60298e-20 t=11615
zai yi 	再以	c=1 d=1.72637e-12 t=11615
zai yi ding 	在一定	c=1 d=3.83349e-15 t=11615
zai yu 	再與	c=1 d=7.34321e-15 t=11615
zang 	髒	c=0 d=1.25058e-14 t=11615
zang ceng 	髒層	c=3 d=0.00193161 t=11615
zang qi 	臟器	c=1 d=3.34131e-16 t=11615
zao cheng 	造成	c=5 d=0.00289433 t=11615
zao dao 	早到	c=1 d=0.0261214 t=11615
zao qi 	早期	c=15 d=0.346876 t=11615
zao ying 	造影	c=13 d=4.79758e-17 t=11615
zao ying hou 	造影後	c=1 d=6.18132e-18 t=11615
zao ying jian cha 	造影檢查	c=1 d=4.70731e-19 t=11615
zao yu 	遭遇	c=1 d=0.00384878 t=11615
zao yun 	早孕	c=0 d=1.48666e-19 t=11615
zao yun zhe 	早孕者	c=1 d=1.49411e-18 t=11615
ze 	則	c=8 d=2.42817 t=11615
ze ke 	則可	c=1 d=1.36812e-11 t=11615
zen me 	怎麼	c=2 d=6.94433e-05 t=11615
zen yang 	怎樣	c=1 d=2.92541e-11 t=11615
zeng cu 	增粗	c=1 d=1.05199e-08 t=11615
zeng da 	增大	c=13 d=0.143503 t=11615
zeng duo 	增多	c=5 d=0.842272 t=11615
zeng gao 	增高	c=10 d=0.406334 t=11615
zeng hou 	增厚	c=2 d=1.33711e-06 t=11615
zeng jia 	增加	c=24 d=0.152174 t=11615
zeng kuai 	增快	c=3 d=0.0175975 t=11615
zeng kuan 	增寬	c=1 d=2.39431e-07 t=11615
zeng qiang 	增強	c=20 d=0.27184 t=11615
zeng sheng 	增生	c=2 d=0.216564 t=11615
zeng yi 	增益	c=1 d=8.59655e-16 t=11615
zeng zhang 	增長	c=1 d=3.39296e-20 t=11615
zhan lian 	粘連	c=4 d=0.00110369 t=11615
zhang 	張	c=2 d=0.917258 t=11615
zhang 	章	c=1 d=3.15165e-05 t=11615
zhang ai 	障礙	c=10 d=0.439132 t=11615
zhang ai xing 	障礙性	c=1 d=2.08116e-05 t=11615
zhang ce 	掌側	c=1 d=5.64738e-14 t=11615
zhang li 	張力	c=1 d=0.0582748 t=11615
zhang li xing 	張力性	c=1 d=0.585669 t=11615
zhang wo 	掌握	c=1 d=1.46453e-18 t=11615
zhao 	照	c=1 d=0.0450492 t=11615
zhao dao 	找到	c=1 d=0.0257325 t=11615
zhao she 	照射	c=1 d=6.33672e-16 t=11615
zhe 	者	c=9 d=0.00665411 t=11615
zhe 	這	c=2 d=0.00746202 t=11615
zhe dang 	遮擋	c=1 d=1.59445e-18 t=11615
